Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
6-March-2023,16.82,17.22,16.35,16.89,16.925453027671382035,33166793,47638,561362997.00,8855314,26.70,0.87,0.07
3-March-2023,17.40,17.69,16.80,16.86,17.179449816763318085,41864707,51254,719212633.00,8107588,19.37,0.89,-0.54
2-March-2023,18.30,18.60,17.31,17.49,17.932097660483440068,38664441,37983,693334532.00,5840184,15.10,1.29,-0.81
1-March-2023,17.55,18.40,17.53,18.30,18.208592785727928222,53750066,55487,978713064.00,12470473,23.20,0.87,0.75
28-February-2023,16.35,17.65,16.30,17.45,17.073610585204054010,24399643,20300,416590003.00,12519669,51.31,1.35,1.10
27-February-2023,16.15,16.55,16.00,16.40,16.239122365218915034,12052804,13763,195726959.00,5051158,41.91,0.55,0.25
24-February-2023,16.40,16.55,16.10,16.15,16.255829253999003298,8096705,12666,131618654.00,3315654,40.95,0.45,-0.25
23-February-2023,16.25,16.55,16.15,16.40,16.339588106462941837,8477579,10912,138520149.00,2888215,34.07,0.40,0.15
22-February-2023,16.70,16.70,16.10,16.30,16.373192183985527350,12449414,16289,203836648.00,5017013,40.30,0.60,-0.40
21-February-2023,16.75,17.00,16.45,16.70,16.717369589600924885,14971793,14971,250288997.00,4529389,30.25,0.55,-0.05
20-February-2023,16.10,16.75,16.10,16.60,16.439614646895298743,15506194,16680,254915854.00,6087496,39.26,0.65,0.50
17-February-2023,16.20,16.35,16.00,16.10,16.159987472564664044,9502344,17330,153557760.00,3658140,38.50,0.35,-0.10
16-February-2023,16.40,16.50,16.20,16.25,16.310444895868622492,8822941,18294,143906093.00,4189989,47.49,0.30,-0.15
15-February-2023,16.30,16.50,16.15,16.45,16.380420416077166734,8379984,14386,137267661.00,3227073,38.51,0.35,0.15
14-February-2023,16.70,16.85,16.30,16.45,16.575514756888196411,7855213,16263,130204199.00,3582525,45.61,0.55,-0.25
13-February-2023,17.05,17.10,16.55,16.70,16.874903631256523311,14707829,17855,248193197.00,6299834,42.83,0.55,-0.35
10-February-2023,16.80,17.30,16.75,17.05,17.065310870703838648,13299838,13585,226965870.00,5794357,43.57,0.55,0.25
9-February-2023,17.15,17.20,16.75,16.85,16.932364466785735864,8622997,15621,146007728.00,3273401,37.96,0.45,-0.30
8-February-2023,17.00,17.35,16.75,17.10,17.122852567627489387,12247941,17514,209719688.00,5010855,40.91,0.60,0.10
7-February-2023,16.70,16.95,16.55,16.85,16.728993227336492390,11892367,17162,198947327.00,4904113,41.24,0.40,0.15
6-February-2023,16.45,17.00,16.40,16.65,16.643229886475527795,15068381,20672,250786529.00,5155996,34.22,0.60,0.20
3-February-2023,16.85,17.15,16.15,16.45,16.454453817496342279,20205206,27115,332465629.00,8107377,40.13,1.00,-0.40
2-February-2023,16.80,17.25,16.70,16.85,16.938372971906564119,10269374,9098,173946487.00,2430029,23.66,0.55,0.05
1-February-2023,17.35,17.55,16.65,16.90,17.187257673134356317,19858508,26735,341313294.00,5788813,29.15,0.90,-0.45
31-January-2023,17.10,17.60,16.75,17.25,17.149518277066777764,19884044,23285,341001776.00,5465532,27.49,0.85,0.15
30-January-2023,17.50,17.90,17.00,17.10,17.294582633343847650,25907532,30872,448059953.00,7441242,28.72,0.90,-0.40
27-January-2023,18.10,18.25,17.30,17.55,17.660022071930462720,24302360,28569,429180214.00,7224591,29.73,0.95,-0.55
25-January-2023,18.20,18.20,17.55,17.90,17.807354101614909224,23888030,27891,425382609.00,7748512,32.44,0.65,-0.30
24-January-2023,18.15,18.50,18.10,18.20,18.269595149192477248,20102220,21608,367259421.00,6450223,32.09,0.40,0.05
23-January-2023,17.35,18.60,17.35,18.15,18.109358193311861083,57552423,56054,1042237443.00,19962898,34.69,1.25,0.80
20-January-2023,20.15,20.15,19.65,19.80,19.893018754562266250,14991179,20695,298219805.00,6385358,42.59,0.50,-0.35
19-January-2023,20.25,20.40,20.05,20.15,20.233243015159752395,10291395,12247,208228296.00,3355280,32.60,0.35,-0.10
18-January-2023,20.10,20.45,20.00,20.35,20.260422270989946072,12568422,12700,254641537.00,3536622,28.14,0.45,0.25
17-January-2023,20.15,20.20,19.95,20.10,20.071628195507838158,9065969,13425,181968759.00,3202905,35.33,0.25,-0.05
16-January-2023,20.40,20.55,20.05,20.15,20.315203387570935169,14552020,18671,295627246.00,4480987,30.79,0.50,-0.25
13-January-2023,19.95,20.30,19.65,20.15,20.065307811415304640,18120007,16997,363583518.00,4539398,25.05,0.65,0.20
12-January-2023,20.15,20.15,19.65,19.90,19.873931662334707846,16914596,20644,336159525.00,4742465,28.04,0.50,-0.25
11-January-2023,20.60,20.65,20.00,20.05,20.248984720715091362,17207088,22254,348426062.00,5539073,32.19,0.65,-0.55
10-January-2023,21.25,21.25,20.35,20.65,20.667156658877724025,14515877,10340,300001904.00,3452480,23.78,0.90,-0.60
9-January-2023,21.35,21.50,21.05,21.20,21.272466841018922751,13420723,17743,285491885.00,5487715,40.89,0.45,-0.15
6-January-2023,21.55,21.70,20.95,21.10,21.174230284898639436,23495479,21220,497498683.00,6692604,28.48,0.75,-0.45
5-January-2023,21.50,21.70,21.15,21.45,21.368799891038436838,24742670,20641,528721164.00,6120569,24.74,0.55,-0.05
4-January-2023,22.20,22.40,20.90,21.35,21.530532898340109140,47407635,36296,1020711645.00,11463941,24.18,1.50,-0.85
3-January-2023,21.90,22.25,21.75,22.05,22.010309628463990314,23144190,17797,509410788.00,6120929,26.45,0.50,0.15
2-January-2023,20.90,22.05,20.75,21.65,21.572924596433156730,48891467,41062,1054731931.00,15303654,31.30,1.30,0.75
30-December-2022,20.45,20.85,20.30,20.60,20.588687760228660104,25533794,22237,525707312.00,8823599,34.56,0.55,0.15
29-December-2022,19.95,20.35,19.75,20.15,20.109321052721749378,22180220,19388,446029165.00,5160101,23.26,0.60,0.20
28-December-2022,20.20,20.70,19.65,20.15,20.205271986608288306,37804876,27355,763857802.00,9510001,25.16,1.05,-0.05
27-December-2022,20.15,20.70,19.60,20.15,20.161408960773930071,46332248,36292,934123400.00,12095199,26.11,1.10,0.00
26-December-2022,17.45,19.90,17.45,19.65,18.975303861920042826,49875450,43999,946401819.00,17330507,34.75,2.45,2.20
23-December-2022,18.55,18.90,17.25,17.45,18.147868449224275194,53406633,52803,969216550.00,22339492,41.83,1.65,-1.10
22-December-2022,19.90,20.25,18.85,18.95,19.245736169069099081,59844833,48548,1151757867.00,24319343,40.64,1.40,-0.95
21-December-2022,21.40,21.70,19.65,19.90,20.543222635481089027,41479516,44179,852122932.00,13889667,33.49,2.05,-1.50
20-December-2022,21.35,21.50,20.60,21.35,21.011094734049433276,35084302,32244,737159593.00,11808971,33.66,0.90,0.00
19-December-2022,21.25,22.10,21.25,21.40,21.570542353058630174,30470078,33222,657256108.00,9027616,29.63,0.85,0.15
16-December-2022,22.20,22.40,21.05,21.20,21.518795171774076837,49357011,52200,1062103410.00,16908417,34.26,1.35,-1.00
15-December-2022,21.95,22.90,21.40,22.45,22.445660122648243852,55060715,54555,1235874095.00,19295520,35.04,1.50,0.50
14-December-2022,24.15,24.75,21.90,22.10,22.796541469157083360,124372868,121519,2835271243.00,49327998,39.66,2.85,-2.05
13-December-2022,21.55,24.40,21.40,23.95,22.775933441023970665,68871973,56932,1568623473.00,16660533,24.19,3.00,2.40
12-December-2022,19.90,21.35,19.65,21.05,20.683896091245783135,79788542,68276,1650337912.00,26718401,33.49,1.70,1.15
9-December-2022,17.75,20.50,17.70,19.70,19.763169017598936861,128043530,89323,2530545925.00,51175070,39.97,2.80,1.95
8-December-2022,17.45,17.80,17.45,17.75,17.645398462516791529,15945540,12534,281365407.00,8638241,54.17,0.35,0.30
7-December-2022,17.50,17.65,17.35,17.45,17.491506085995575325,13421551,10982,234763141.00,4971836,37.04,0.30,-0.05
6-December-2022,17.40,17.90,17.30,17.50,17.581229361291466160,15993915,13146,281192688.00,6340026,39.64,0.60,0.10
5-December-2022,17.50,17.80,17.35,17.45,17.551582502982514957,13544777,14606,237732271.00,6286987,46.42,0.45,-0.05
2-December-2022,17.30,17.90,17.25,17.40,17.602636506823157048,20031050,11584,352599292.00,7201617,35.95,0.65,0.10
