Date,Open,High,Low,Close
1-September-2022,22896.68,22948.85,22794.69,22813.42,
2-September-2022,22875.06,22959.39,22711.18,22738.12,
5-September-2022,22747.21,22803.94,22640.48,22793.32,
6-September-2022,22805.08,22958.31,22805.08,22906.26,
7-September-2022,22805.67,23091.03,22797.66,23064.17,
8-September-2022,23118.73,23194.89,23015.14,23091.22,
9-September-2022,23091.39,23342.10,23091.39,23159.13,
12-September-2022,23138.86,23304.84,23138.78,23241.74,
13-September-2022,23246.71,23324.07,23238.00,23293.40,
14-September-2022,22989.53,23362.52,22986.98,23198.01,
15-September-2022,23244.30,23330.99,22973.59,22994.31,
16-September-2022,22991.57,23058.90,22628.12,22664.28,
19-September-2022,22635.20,22706.91,22360.95,22671.19,
20-September-2022,22718.54,23364.00,22718.54,23307.75,
21-September-2022,23327.36,23453.76,23071.08,23092.86,
22-September-2022,22981.41,23135.30,22901.12,23042.40,
23-September-2022,23049.26,23258.29,22912.23,22935.77,
26-September-2022,22814.72,22837.91,22551.42,22611.85,
27-September-2022,22632.33,22788.14,22556.21,22768.05,
28-September-2022,22705.88,22984.75,22647.90,22872.54,
29-September-2022,22958.26,23255.14,22958.26,23185.31,
30-September-2022,23156.72,23396.39,23079.85,23340.50,
3-October-2022,23286.97,23759.62,23281.15,23528.53,
4-October-2022,23677.99,23764.98,23593.13,23712.61,
6-October-2022,23810.79,23875.16,23656.63,23752.71,
7-October-2022,23684.94,23780.05,23578.75,23643.22,
10-October-2022,23409.96,23539.26,23304.25,23451.72,
11-October-2022,23465.87,23511.35,23083.22,23118.35,
12-October-2022,23103.24,23206.76,22975.02,23156.32,
13-October-2022,23143.56,23305.30,23115.95,23196.61,
14-October-2022,23390.39,23456.21,23292.50,23324.89,
17-October-2022,23251.61,23397.02,23251.61,23321.07,
18-October-2022,23358.87,23459.47,23273.79,23385.33,
19-October-2022,23381.22,23519.68,23319.46,23404.26,
20-October-2022,23343.01,23502.46,23278.66,23488.62,
21-October-2022,23454.64,23613.43,23354.04,23385.14,
24-October-2022,23460.73,23574.45,23456.74,23505.21,
25-October-2022,23514.19,23657.92,23501.31,23602.53,
27-October-2022,23621.98,23809.92,23621.98,23764.95,
28-October-2022,23733.75,23781.50,23604.85,23638.60,
31-October-2022,23693.53,23958.33,23693.53,23924.28,
1-November-2022,23963.99,24357.36,23963.99,24309.10,
2-November-2022,24328.48,24676.73,24318.52,24413.48,
3-November-2022,24301.85,24473.49,24301.85,24428.09,
4-November-2022,24445.69,24485.38,24221.94,24262.48,
7-November-2022,24280.30,24404.73,23964.80,24020.74,
9-November-2022,24043.50,24145.93,23741.94,23784.22,
10-November-2022,23738.65,23973.65,23513.54,23601.48,
11-November-2022,23754.17,23888.74,23605.44,23654.73,
14-November-2022,23579.34,23807.83,23430.54,23787.93,
15-November-2022,23773.09,23836.26,23664.62,23782.76,
16-November-2022,23722.02,23845.54,23579.25,23652.91,
17-November-2022,23642.44,23710.26,23475.45,23487.28,
18-November-2022,23561.96,23578.52,23354.95,23405.31,
21-November-2022,23385.66,23404.00,23272.46,23323.69,
22-November-2022,23311.07,23402.60,23256.81,23375.45,
23-November-2022,23447.93,23495.89,23419.26,23472.62,
24-November-2022,23526.12,23625.17,23504.93,23591.55,
25-November-2022,23587.09,23699.38,23560.46,23668.71,
28-November-2022,23626.84,23753.32,23626.84,23724.17,
29-November-2022,23708.67,23928.42,23701.22,23852.14,
30-November-2022,23875.72,24027.74,23816.60,23945.61,
1-December-2022,23993.90,24060.71,23913.61,23951.27,
2-December-2022,23896.22,23957.59,23824.94,23927.31,
5-December-2022,23913.37,24008.65,23772.12,23813.85,
6-December-2022,23737.21,23807.35,23639.07,23696.59,
7-December-2022,23687.93,23773.17,23525.85,23552.44,
8-December-2022,23574.73,23594.70,23321.33,23343.68,
9-December-2022,23371.94,23484.91,23285.84,23379.31,
12-December-2022,23356.09,23399.13,23202.71,23381.75,
13-December-2022,23379.77,23419.52,23289.59,23376.08,
14-December-2022,23399.88,23540.18,23399.88,23499.55,
15-December-2022,23531.52,23611.44,23361.95,23387.91,
16-December-2022,23289.37,23384.27,23058.77,23077.54,
19-December-2022,23032.11,23122.24,22952.38,23094.34,
20-December-2022,23064.78,23096.74,22940.50,23081.08,
21-December-2022,23126.05,23634.44,23125.47,23600.27,
22-December-2022,23777.46,23851.01,23486.90,23544.74,
23-December-2022,23510.71,23809.00,23220.57,23267.43,
26-December-2022,23327.29,23448.10,23129.05,23163.86,
27-December-2022,23219.17,23293.46,23123.48,23169.25,
28-December-2022,23161.81,23255.95,23062.24,23079.48,
29-December-2022,23087.01,23276.74,22948.40,23117.22,
30-December-2022,23183.86,23223.60,23009.50,23033.66,
2-January-2023,23028.26,23063.88,22848.14,22971.17,
