Date,Open,High,Low,Close
1-September-2022,18941.52,19032.56,18806.49,18867.95,
2-September-2022,18945.68,18965.47,18631.73,18693.18,
5-September-2022,18733.07,19094.80,18724.90,19074.48,
6-September-2022,19132.49,19266.79,18978.39,19240.68,
7-September-2022,19086.65,19289.24,19064.66,19266.22,
8-September-2022,19345.27,19410.96,19010.10,19039.79,
9-September-2022,19136.95,19314.81,19064.62,19134.59,
12-September-2022,19227.22,19339.34,19147.73,19255.17,
13-September-2022,19334.35,19507.44,19334.35,19398.07,
14-September-2022,19140.81,19945.04,19111.13,19769.27,
15-September-2022,19860.69,19862.07,19499.14,19553.85,
16-September-2022,19376.26,19459.99,18990.31,19164.04,
19-September-2022,19132.82,19235.74,18883.42,18925.22,
20-September-2022,19024.78,19368.89,19024.78,19178.99,
21-September-2022,19102.44,19322.08,18974.78,19004.23,
22-September-2022,18909.23,19090.61,18766.39,18942.47,
23-September-2022,19039.75,19176.97,18621.75,18685.16,
26-September-2022,18481.95,18514.50,17677.73,17843.75,
27-September-2022,17913.71,18049.34,17466.87,17695.85,
28-September-2022,17545.26,17660.17,17240.25,17285.17,
29-September-2022,17472.89,17767.65,17461.37,17548.61,
30-September-2022,17609.09,18141.11,17470.87,18015.22,
3-October-2022,18033.00,18040.58,17778.94,17848.40,
4-October-2022,18137.73,18496.97,18137.73,18460.46,
6-October-2022,18610.88,19213.02,18610.88,19178.08,
7-October-2022,19136.37,19136.37,18873.57,19058.16,
10-October-2022,18737.04,19086.67,18700.50,19056.20,
11-October-2022,19060.11,19146.63,18417.69,18477.61,
12-October-2022,18526.41,18707.61,18344.37,18659.18,
13-October-2022,18770.71,18907.45,18523.98,18683.89,
14-October-2022,18983.96,19050.44,18610.97,18633.08,
17-October-2022,18546.98,18594.81,18307.22,18475.97,
18-October-2022,18560.51,18678.18,18533.82,18634.85,
19-October-2022,18652.62,18722.53,18443.83,18458.91,
20-October-2022,18314.80,18650.33,18213.56,18614.93,
21-October-2022,18609.54,18670.47,18318.35,18449.03,
24-October-2022,18566.55,18655.96,18566.55,18607.81,
25-October-2022,18531.45,18802.20,18491.28,18699.95,
27-October-2022,18851.96,19305.90,18851.96,19264.82,
28-October-2022,19251.96,19278.58,18843.96,18987.13,
31-October-2022,18947.75,19083.61,18858.97,19024.82,
1-November-2022,18812.85,19236.47,18812.85,19207.08,
2-November-2022,19129.29,19494.05,19129.29,19336.18,
3-November-2022,19136.78,19412.68,19084.36,19323.71,
4-November-2022,19343.55,19940.08,19343.55,19884.02,
7-November-2022,19947.25,20149.24,19796.74,20094.66,
9-November-2022,20155.34,20250.23,19842.92,19885.73,
10-November-2022,19801.99,19870.37,19651.21,19698.14,
11-November-2022,19901.48,20206.97,19901.48,20144.95,
14-November-2022,20228.90,20605.13,20228.90,20443.68,
15-November-2022,20280.61,20411.16,20096.75,20321.30,
16-November-2022,20292.09,20349.84,19875.05,20018.51,
17-November-2022,19903.00,19989.60,19696.98,19875.39,
18-November-2022,19895.51,20024.37,19664.98,19807.18,
21-November-2022,20001.31,20008.35,19597.08,19630.15,
22-November-2022,19620.48,19808.61,19579.69,19790.19,
23-November-2022,19879.19,19952.21,19769.83,19918.09,
24-November-2022,19923.34,20005.66,19828.20,19929.86,
25-November-2022,19909.92,20080.06,19854.32,20046.31,
28-November-2022,19947.92,19991.62,19707.64,19755.94,
29-November-2022,19643.32,20010.41,19643.32,19868.94,
30-November-2022,19860.22,20290.73,19860.22,20257.70,
1-December-2022,20325.10,20669.83,20325.10,20613.22,
2-December-2022,20560.50,20790.70,20546.34,20720.24,
5-December-2022,20831.15,21245.84,20831.15,21211.68,
6-December-2022,21158.25,21158.25,20760.15,20855.63,
7-December-2022,20877.39,20923.66,20624.50,20668.73,
8-December-2022,20638.67,20903.31,20628.47,20807.76,
9-December-2022,20886.08,21025.28,20490.37,20569.30,
12-December-2022,20437.62,20717.31,20273.07,20661.56,
13-December-2022,20726.77,20827.48,20575.64,20636.34,
14-December-2022,20674.19,20978.21,20674.19,20956.70,
15-December-2022,20933.90,21035.86,20529.47,20575.39,
16-December-2022,20319.85,20637.13,20312.12,20443.93,
19-December-2022,20418.13,20656.45,20417.88,20630.25,
20-December-2022,20526.93,20556.57,20203.93,20525.95,
21-December-2022,20583.29,20700.70,20192.00,20324.43,
22-December-2022,20303.49,20501.98,19922.41,20089.88,
23-December-2022,19839.34,19960.86,19233.60,19299.51,
26-December-2022,19207.04,19827.01,19206.23,19734.19,
27-December-2022,19928.63,20663.97,19893.01,20639.25,
28-December-2022,20565.01,20749.25,20474.24,20543.24,
29-December-2022,20346.33,20807.60,20333.79,20777.56,
30-December-2022,20875.78,21144.68,20785.40,20855.59,
2-January-2023,20969.81,21529.06,20968.33,21445.59,
3-January-2023,21464.47,21528.26,21280.29,21327.18,
4-January-2023,21279.72,21283.48,20688.28,20723.06,
5-January-2023,20821.91,20980.81,20667.55,20936.57,
6-January-2023,20934.32,21063.59,20620.04,20669.23,
9-January-2023,20856.35,21065.99,20856.35,20981.80,
10-January-2023,21054.38,21242.60,20919.43,21121.14,
11-January-2023,21243.40,21385.87,21185.13,21290.31,
12-January-2023,21357.11,21382.03,21149.98,21247.33,
13-January-2023,21294.42,21555.51,21285.77,21471.37,
16-January-2023,21516.43,21588.38,21170.50,21261.42,
17-January-2023,21238.06,21314.02,21008.16,21272.61,
18-January-2023,21320.36,21822.12,21320.08,21792.07,
19-January-2023,21658.78,22005.82,21535.55,21916.96,
20-January-2023,21882.25,22024.58,21681.11,21722.33,
23-January-2023,21777.03,21883.76,21638.92,21682.89,
24-January-2023,21763.85,21800.83,21394.24,21420.91,
25-January-2023,21408.17,21579.31,21329.05,21443.11,
27-January-2023,21502.34,21646.45,20932.02,21191.44,
30-January-2023,21113.02,21324.13,20696.70,20938.57,
31-January-2023,20964.70,21297.82,20897.52,21152.96,
1-February-2023,21294.08,21623.17,20827.48,21268.18,
2-February-2023,21195.87,21355.39,20962.74,21080.82,
3-February-2023,21030.09,21156.65,20633.21,20973.92,
