Date,Open,High,Low,Close
1-September-2022,13090.57,13124.23,12997.81,13070.79,
2-September-2022,13145.56,13164.73,13011.75,13021.98,
5-September-2022,13023.94,13132.80,13006.63,13095.81,
6-September-2022,13105.32,13221.07,13011.50,13100.19,
7-September-2022,13010.60,13149.41,12945.94,13128.57,
8-September-2022,13239.57,13298.32,13195.80,13264.46,
9-September-2022,13362.84,13526.61,13269.40,13475.70,
12-September-2022,13567.31,13710.02,13566.04,13631.91,
13-September-2022,13726.82,13734.20,13633.52,13684.53,
14-September-2022,13294.26,13361.33,13270.52,13294.44,
15-September-2022,13315.33,13343.97,13080.68,13095.08,
16-September-2022,13022.40,13051.19,12659.49,12698.19,
19-September-2022,12726.35,12840.01,12628.12,12752.64,
20-September-2022,12874.56,12966.08,12805.46,12826.24,
21-September-2022,12782.25,12813.20,12698.34,12706.32,
22-September-2022,12675.59,12766.34,12609.13,12691.31,
23-September-2022,12692.42,12784.59,12560.86,12577.32,
26-September-2022,12530.58,12711.15,12430.38,12576.29,
27-September-2022,12657.67,12747.80,12566.65,12671.08,
28-September-2022,12574.46,12795.77,12555.05,12702.29,
29-September-2022,12765.61,12803.49,12619.82,12659.18,
30-September-2022,12601.55,12879.65,12521.24,12834.73,
3-October-2022,12844.57,12878.63,12690.39,12738.34,
4-October-2022,12927.08,13063.26,12909.03,13052.81,
6-October-2022,13115.15,13254.27,13115.15,13169.08,
7-October-2022,13151.24,13192.44,13075.92,13121.89,
10-October-2022,12900.57,13233.22,12899.86,13218.15,
11-October-2022,13223.45,13305.16,12911.55,12939.09,
12-October-2022,13041.97,13048.78,12899.56,12997.46,
13-October-2022,13015.44,13026.68,12890.10,12934.84,
14-October-2022,13277.45,13322.23,13103.18,13136.16,
17-October-2022,13095.31,13213.74,13071.09,13161.37,
18-October-2022,13296.22,13335.40,13254.36,13298.04,
19-October-2022,13318.66,13329.43,13172.68,13197.69,
20-October-2022,13137.42,13369.49,13131.92,13354.75,
21-October-2022,13349.40,13378.79,13292.75,13335.96,
24-October-2022,13432.33,13496.85,13429.98,13441.31,
25-October-2022,13494.58,13520.57,13440.94,13475.64,
27-October-2022,13483.52,13535.07,13396.12,13472.44,
28-October-2022,13469.41,13496.73,13368.34,13400.76,
31-October-2022,13482.16,13615.86,13482.16,13595.68,
1-November-2022,13666.64,13833.54,13641.61,13822.54,
2-November-2022,13825.99,13826.04,13649.66,13684.15,
3-November-2022,13585.23,13650.75,13518.29,13574.40,
4-November-2022,13532.30,13549.41,13422.46,13528.35,
7-November-2022,13538.17,13623.14,13426.06,13548.28,
9-November-2022,13617.97,13636.88,13463.21,13518.45,
10-November-2022,13367.94,13549.93,13366.75,13479.00,
11-November-2022,13710.11,13964.01,13710.11,13911.26,
14-November-2022,13912.83,14011.61,13893.65,13975.39,
15-November-2022,13875.09,14061.36,13875.09,14036.36,
16-November-2022,14040.26,14120.08,14009.50,14077.95,
17-November-2022,14031.66,14046.38,13973.15,13999.10,
