Date,Open,High,Low,Close
3-October-2022,57403.92,57454.84,56683.40,56788.81,
4-October-2022,57506.65,58099.94,57506.65,58065.47,
6-October-2022,58314.05,58578.76,58173.70,58222.10,
7-October-2022,58092.56,58269.34,57851.15,58191.29,
10-October-2022,57424.07,58125.01,57365.68,57991.11,
11-October-2022,58004.25,58027.52,57050.40,57147.32,
12-October-2022,57312.49,57687.64,57085.92,57625.91,
13-October-2022,57512.74,57568.14,57055.75,57235.33,
14-October-2022,58162.74,58435.12,57848.23,57919.97,
17-October-2022,57752.50,58449.00,57639.80,58410.98,
18-October-2022,58744.13,59143.66,58744.13,58960.60,
19-October-2022,59196.96,59399.69,58961.77,59107.19,
20-October-2022,58824.48,59273.85,58791.28,59202.90,
21-October-2022,59381.36,59590.93,59132.94,59307.15,
24-October-2022,59804.02,59994.25,59776.66,59831.66,
25-October-2022,60002.96,60081.24,59489.02,59543.96,
27-October-2022,59792.32,59959.94,59496.80,59756.84,
28-October-2022,59746.80,60133.17,59739.05,59959.85,
31-October-2022,60246.96,60786.70,60246.96,60746.59,
1-November-2022,61065.58,61289.73,60868.69,61121.35,
2-November-2022,61156.89,61209.65,60794.39,60906.09,
3-November-2022,60511.57,60994.37,60485.14,60836.41,
4-November-2022,60698.27,61004.49,60666.01,60950.36,
7-November-2022,61188.13,61401.54,60714.36,61185.15,
9-November-2022,61304.29,61447.23,60905.15,61033.55,
10-November-2022,60524.27,60848.73,60425.47,60613.70,
11-November-2022,61311.02,61840.97,61311.02,61795.04,
14-November-2022,61765.86,61916.24,61572.03,61624.15,
15-November-2022,61630.05,61955.96,61436.90,61872.99,
16-November-2022,61708.63,62052.57,61708.63,61980.72,
17-November-2022,61812.36,62050.80,61643.27,61750.60,
18-November-2022,61858.20,61929.88,61337.43,61663.48,
21-November-2022,61456.33,61456.33,61059.33,61144.84,
22-November-2022,61126.56,61466.63,61073.68,61418.96,
23-November-2022,61779.71,61780.90,61442.69,61510.58,
24-November-2022,61656.00,62412.33,61600.42,62272.68,
25-November-2022,62327.88,62447.73,62115.66,62293.64,
28-November-2022,62016.35,62701.40,61959.74,62504.80,
29-November-2022,62362.08,62887.40,62362.08,62681.84,
30-November-2022,62743.47,63303.01,62648.38,63099.65,
1-December-2022,63357.99,63583.07,63183.77,63284.19,
2-December-2022,62978.58,63148.59,62679.63,62868.50,
5-December-2022,62865.28,62939.63,62507.88,62834.60,
6-December-2022,62395.55,62677.84,62390.07,62626.36,
7-December-2022,62615.52,62759.97,62316.65,62410.68,
8-December-2022,62504.04,62633.56,62320.18,62570.68,
9-December-2022,62690.86,62735.42,61889.11,62181.67,
12-December-2022,61770.56,62239.42,61676.15,62130.57,
13-December-2022,62300.67,62567.92,62129.57,62533.30,
14-December-2022,62685.94,62835.11,62591.28,62677.91,
15-December-2022,62530.07,62624.81,61715.61,61799.03,
16-December-2022,61534.24,61893.22,61292.53,61337.81,
19-December-2022,61405.80,61844.92,61265.31,61806.19,
20-December-2022,61608.85,61780.37,61102.68,61702.29,
21-December-2022,61993.71,62006.46,60938.38,61067.24,
22-December-2022,61257.17,61464.38,60637.24,60826.22,
23-December-2022,60205.56,60546.88,59765.56,59845.29,
26-December-2022,59755.08,60833.78,59754.10,60566.42,
27-December-2022,60861.41,60986.68,60405.66,60927.43,
28-December-2022,60811.52,61075.33,60713.77,60910.28,
29-December-2022,60628.29,61210.65,60479.06,61133.88,
30-December-2022,61329.16,61392.68,60743.71,60840.74,
2-January-2023,60871.24,61222.79,60764.63,61167.79,
3-January-2023,61074.88,61343.96,61004.04,61294.20,
4-January-2023,61294.65,61327.21,60593.56,60657.45,
5-January-2023,60847.50,60877.06,60049.84,60353.27,
6-January-2023,60388.74,60537.63,59669.91,59900.37,
9-January-2023,60147.07,60889.41,60109.94,60747.31,
10-January-2023,60805.14,60809.65,59938.38,60115.48,
11-January-2023,60134.56,60364.77,59805.78,60105.50,
12-January-2023,60083.03,60290.35,59632.32,59958.03,
13-January-2023,60044.96,60418.26,59628.43,60261.18,
16-January-2023,60550.50,60586.77,59963.83,60092.97,
17-January-2023,60142.08,60704.48,60072.34,60655.72,
18-January-2023,60716.03,61110.25,60569.19,61045.74,
19-January-2023,60920.02,61032.47,60716.55,60858.43,
20-January-2023,60901.16,61001.18,60585.25,60621.77,
23-January-2023,60876.01,61113.27,60761.88,60941.67,
24-January-2023,61122.20,61266.06,60849.12,60978.75,
25-January-2023,60834.73,60899.21,60081.36,60205.06,
27-January-2023,60166.90,60166.90,58974.70,59330.90,
30-January-2023,59101.69,59644.24,58699.20,59500.41,
31-January-2023,59770.83,59787.63,59104.59,59549.90,
1-February-2023,60001.17,60773.44,58816.84,59708.08,
2-February-2023,59459.87,60007.67,59215.62,59932.24,
3-February-2023,60350.01,60905.34,60013.06,60841.88,
6-February-2023,60847.21,60847.21,60345.61,60506.90,
7-February-2023,60511.32,60655.14,60063.49,60286.04,
8-February-2023,60332.99,60792.10,60324.92,60663.79,
9-February-2023,60715.89,60863.63,60472.81,60806.22,
10-February-2023,60706.81,60774.14,60501.74,60682.70,
13-February-2023,60652.82,60740.95,60245.05,60431.84,
14-February-2023,60550.25,61102.74,60550.25,61032.26,
15-February-2023,60990.05,61352.55,60750.32,61275.09,
16-February-2023,61566.22,61682.25,61196.72,61319.51,
17-February-2023,60993.54,61302.72,60810.67,61002.57,
20-February-2023,61112.84,61290.19,60607.02,60691.54,
21-February-2023,60770.43,60976.59,60583.72,60672.72,
22-February-2023,60391.86,60462.90,59681.55,59744.98,
23-February-2023,59777.64,59960.04,59406.31,59605.80,
24-February-2023,59859.48,59908.77,59325.34,59463.93,
27-February-2023,59331.31,59441.13,58937.64,59288.35,
28-February-2023,59346.61,59483.72,58795.97,58962.12,
1-March-2023,59136.48,59475.45,59109.54,59411.08,
2-March-2023,59287.18,59423.79,58866.26,58909.35,
3-March-2023,59241.20,59967.04,59231.58,59808.97,
6-March-2023,60007.04,60498.48,60005.65,60224.46,
